userId,age,gender,occupation,zip
1,62,F,executive,16901
2,38,F,lawyer,18597
3,40,F,retired,73909
4,60,M,artist,82391
5,33,M,educator,94214
6,64,F,librarian,18263
7,70,F,student,73293
8,32,M,programmer,35805
9,42,M,executive,21874
10,53,M,administrator,96402
11,28,F,artist,24079
12,68,M,retired,59850
13,32,M,librarian,82779
14,21,M,programmer,19018
15,38,M,doctor,59500
16,30,F,writer,22100
17,39,M,student,67021
18,36,F,scientist,29800
19,51,F,writer,73400
20,31,M,artist,39437
21,21,M,doctor,86537
22,65,M,doctor,56675
23,70,F,doctor,29942
24,69,M,administrator,30862
25,63,M,artist,21669
26,44,F,scientist,63772
27,46,M,educator,25916
28,64,F,writer,20878
29,45,M,scientist,12985
30,52,M,educator,83648
31,25,M,programmer,51235
32,33,F,engineer,28931
33,59,M,executive,10336
34,53,F,executive,52933
35,47,F,educator,94899
36,35,M,engineer,55536
37,19,F,scientist,79504
38,66,M,engineer,61148
39,30,M,student,26279
40,21,M,programmer,78665
41,43,F,artist,81386
42,42,M,engineer,96124
43,47,M,retired,87485
44,28,M,lawyer,84055
45,24,M,executive,87273
46,48,M,retired,76670
47,61,F,programmer,86474
48,27,F,engineer,64028
49,56,M,writer,81128
50,30,F,executive,28108
51,48,M,student,62495
52,24,F,librarian,92806
53,66,M,student,86533
54,59,M,lawyer,66830
55,59,M,doctor,84640
56,53,F,librarian,62509
57,37,M,administrator,76406
58,21,M,engineer,49519
59,71,M,programmer,59649
60,24,M,executive,44524
61,71,M,administrator,43885
62,18,M,programmer,54369
63,61,F,lawyer,40676
64,62,M,educator,74093
65,59,F,engineer,57764
66,64,M,artist,60799
67,30,F,artist,89414
68,39,F,engineer,82307
69,71,M,librarian,92062
70,38,M,doctor,41923
71,39,M,doctor,88388
72,45,M,librarian,57574
73,26,F,scientist,53391
74,43,M,artist,63664
75,26,M,writer,77384
76,32,M,librarian,41027
77,27,F,executive,45464
78,41,M,artist,44485
79,59,M,writer,29456
80,25,M,lawyer,84795
81,41,F,administrator,45554
